Layer,File,HTTP Method,Full Path,Function Name,Path Parameters (Input),Query Parameters (Input),Request Body Model (Input),Response Model (Output),Tags,Description
L2 (Product APIs),v1_proxy.py,POST,/v1/embeddings,embeddings,,,,EmbeddingResponse,OpenAI Proxy,OpenAI-compatible embeddings endpoint.
L2 (Product APIs),v1_killswitch.py,GET,/v1/incidents,list_incidents,,"tenant_id, limit, offset",Optional[str],List[IncidentSummary],KillSwitch,List incidents (auto-grouped failures).
L2 (Product APIs),v1_killswitch.py,GET,/v1/incidents/{incident_id},get_incident,incident_id,,,IncidentDetail,KillSwitch,Get incident detail with timeline.
L2 (Product APIs),v1_killswitch.py,DELETE,/v1/killswitch/key,unfreeze_key,,,,KillSwitchStatus,KillSwitch,Unfreeze an API key.
L2 (Product APIs),v1_killswitch.py,POST,/v1/killswitch/key,freeze_key,,,KillSwitchAction,KillSwitchStatus,KillSwitch,Kill a single API key.
L2 (Product APIs),v1_killswitch.py,GET,/v1/killswitch/status,get_killswitch_status,,tenant_id,,"Dict[str, Any]",KillSwitch,Get complete kill switch status for a tenant.
L2 (Product APIs),v1_killswitch.py,DELETE,/v1/killswitch/tenant,unfreeze_tenant,,tenant_id,,KillSwitchStatus,KillSwitch,Unfreeze a tenant.
L2 (Product APIs),v1_killswitch.py,POST,/v1/killswitch/tenant,freeze_tenant,,tenant_id,KillSwitchAction,KillSwitchStatus,KillSwitch,Hard stop everything for a tenant.
L2 (Product APIs),v1_killswitch.py,GET,/v1/policies/active,get_active_policies,,,,List[GuardrailSummary],KillSwitch,Get active guardrails - 'What's protecting me right now?'
L2 (Product APIs),v1_killswitch.py,POST,/v1/replay/{call_id},replay_call,call_id,,,ReplayResult,KillSwitch,REPLAY PROVES ENFORCEMENT
L2 (Product APIs),v1_proxy.py,GET,/v1/status,proxy_status,,,Optional[str],,OpenAI Proxy,Protection status endpoint - the pulse of your safety net.
L2 (Product APIs),main.py,GET,/version,version,,,,,,Version info.
